"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2810013P06Rik",2.96186279835935e-07,0.189616233804934,0.093,0.093,0.0101870309086771
"Foxo4",3.00770300049707e-07,0.240062724760221,0.035,0.036,0.0103446936999096
"Zfp60",3.07923545605116e-07,-0.331867972001327,0.011,0.018,0.0105907224275424
"Ccdc58",3.17908602282027e-07,0.504116222456811,0.009,0.011,0.010934148466888
"Coq10a",3.21923838163835e-07,-0.194122163690237,0.01,0.017,0.0110722484898069
"Coq8b",3.26328972027693e-07,-0.234267568050689,0.048,0.062,0.0112237586639205
"Oas1a",3.29923872511971e-07,-0.583323209499231,0.032,0.051,0.0113474016711767
"Mdk",3.36212688741253e-07,-1.0656029647203,0.007,0.017,0.0115636992165666
"Meikin",3.36701331990796e-07,-0.370521061551965,0.012,0.02,0.0115805056124914
"Sema4f",3.41490690780805e-07,0.409705969694622,0.059,0.051,0.011745230818715
"Ppp1r16b",3.45257248060336e-07,-1.52536181156203,0.008,0.018,0.0118747777897872
"Lrp1",3.52099027820419e-07,1.51931614943628,0.018,0.008,0.0121100939628555
"Mylpf",3.52699682473034e-07,-0.672376244185685,0.007,0.016,0.0121307528789775
"Gm50432",3.52964006158543e-07,0.434390941163223,0.019,0.019,0.0121398440278169
"Xpa",3.53883785310081e-07,0.167800317222486,0.102,0.101,0.0121714789119549
"Nradd",3.58130516253251e-07,-0.347524015818111,0.041,0.058,0.0123175409760143
"Mvb12a",3.84332002098798e-07,-0.18477729755376,0.041,0.054,0.0132187148801861
"Carf",3.90860787183955e-07,-0.103670317103085,0.013,0.02,0.013443265914405
"Nif3l1",3.90917075975704e-07,-0.135745068772768,0.035,0.045,0.0134452019111084
"Nudt2",4.06731434497004e-07,-0.458569173430119,0.006,0.012,0.01398912095809
"Clp1",4.18987806040365e-07,-0.165854578427999,0.041,0.052,0.0144106666009523
"Castor2",4.20506605585667e-07,-0.927880524164428,0.004,0.01,0.0144629041925134
"Ccdc66",4.35905003895493e-07,-1.22318742402147,0.003,0.011,0.0149925167039816
"Zfp932",4.51879765663828e-07,-0.657904654749236,0.005,0.012,0.0155419526602417
"Nup210l",4.58824873654419e-07,-0.651240736751683,0.016,0.029,0.0157808227044701
"Gm20721",4.78939140327613e-07,-0.618676374724908,0.007,0.014,0.0164726327924279
"Homer3",4.85909342326418e-07,-0.792464297032935,0.004,0.011,0.0167123659199748
"Exo5",5.00869668489115e-07,-0.700253332980513,0.006,0.014,0.0172269113780146
"Arl2",5.02791387941865e-07,-0.598426874073646,0.01,0.019,0.0172930069968725
"D030055H07Rik",5.04633540859674e-07,-0.252917728138304,0.021,0.03,0.0173563660043276
"Lrrc1",5.07842030271105e-07,-0.613854256521936,0.009,0.018,0.0174667187891444
"Actr5",5.10209137605682e-07,-0.422422466520596,0.016,0.027,0.0175481330788098
"9530036O11Rik",5.30688708292052e-07,0.139691004151246,0.017,0.021,0.0182525074329968
"Ly6g5b",5.32277836731434e-07,0.295813154654583,0.073,0.067,0.0183071639165409
"Mrtfb",5.38213394093161e-07,0.147736120364413,0.033,0.037,0.0185113114764402
"Wnt5b",5.56062005106557e-07,0.213972586999667,0.013,0.016,0.0191251966036349
"Hsd17b2",5.5681732885764e-07,0.212174098321287,0.018,0.021,0.0191511752087297
"Rft1",5.58901889198501e-07,0.114550112572671,0.021,0.026,0.0192228715770932
"Tbcc",5.67685594806901e-07,-0.575874305436855,0.026,0.041,0.0195249783477885
"Zfp467",5.68420939696403e-07,-1.96934130406941,0.003,0.012,0.0195502697999181
"Gm7027",5.70942270474837e-07,-1.2355746479149,0.003,0.01,0.0196369884507115
"Dpm1",5.78106342716449e-07,-0.486469771674634,0.018,0.03,0.0198833895513896
"Ppm1e",5.82590248411989e-07,-0.493187264337384,0.012,0.021,0.020037609003882
"Spata5",5.93485759877182e-07,-0.645938722919482,0.006,0.014,0.0204123492252158
"Mkks",5.98192158149631e-07,-0.687309520575747,0.005,0.012,0.0205742210873984
"Pnkd",6.06235807576082e-07,-0.303435189309612,0.017,0.025,0.0208508743657718
"Gm10163",6.18018319504265e-07,0.156133928341868,0.006,0.01,0.0212561220810297
"Acaa1a",6.21295337229845e-07,-0.129029025009637,0.06,0.074,0.0213688318286833
"Gm16845",6.29816157356796e-07,-0.60430231634214,0.004,0.01,0.0216618969161297
"Lsm10",6.49788802789706e-07,0.191745084248495,0.15,0.144,0.0223488360831491
"Zfp213",6.50418855983504e-07,-0.222784160990249,0.008,0.014,0.0223705061326966
"Anxa6",6.60336739792429e-07,0.635178093078914,0.066,0.045,0.0227116218284208
"A430033K04Rik",6.64554536737903e-07,-0.948654780286125,0.004,0.012,0.0228566887365634
"9130230N09Rik",6.72713610002674e-07,-0.115875913944026,0.015,0.021,0.023137311902432
"Slc43a2",6.75296776092226e-07,0.163125987573619,0.067,0.069,0.023226157316916
"Fancl",6.78762666786382e-07,-0.5891216679243,0.009,0.017,0.0233453631614508
"Rpl34-ps1",6.79474659318264e-07,0.187852624736587,0.007,0.01,0.0233698514325924
"Plk3",6.80393226266436e-07,0.276117734436783,0.195,0.169,0.0234014446242078
"1700047F07Rik",6.85086545141359e-07,-0.306056283568645,0.017,0.026,0.0235628666335919
"Pim3",6.87640282354493e-07,0.488259409768366,0.008,0.01,0.0236506998713004
"Letmd1",7.04257446299341e-07,-0.270204439644508,0.006,0.012,0.0242222306080195
"Gm20696",7.26344587173257e-07,-0.262116705804543,0.023,0.034,0.024981895731237
"Camk2b",7.3262615442046e-07,-0.622834897165454,0.014,0.025,0.0251979439551373
"A930014D07Rik",7.44040293641171e-07,-0.258007564054499,0.022,0.031,0.0255905218594944
"Ttll4",7.44425781466391e-07,-0.676051338640321,0.005,0.012,0.025603780327755
"1700084F23Rik",7.66205307731474e-07,0.151348124705996,0.041,0.043,0.0263528653541163
"Gm34794",7.79196027438476e-07,1.38052977355275,0.018,0.008,0.0267996681677189
"Vps39",7.87339777106887e-07,-0.1201222039888,0.038,0.049,0.0270797642938143
"Gm20732",8.26450080647873e-07,-0.165341548252612,0.02,0.028,0.0284249240738029
"mt-Ta",8.32355823580041e-07,-0.483454949661545,0.024,0.038,0.0286280461962119
"Gm44511",8.49058154212982e-07,-0.275439191263493,0.013,0.021,0.0292025061560013
"Gnrh1",8.548511161624e-07,-0.409964912251015,0.005,0.01,0.0294017492892896
"Acad9",8.75650327058097e-07,-0.237177101140293,0.006,0.011,0.0301171173488362
"Kif1c",8.85460229810261e-07,0.254498401332387,0.131,0.12,0.0304545191440941
"Cfap43",8.92770993942684e-07,-0.320820667301966,0.021,0.032,0.0307059655656647
