gene_id,MUI_Innsbruck.P11_blood_Neutrophil,MUI_Innsbruck.P12_blood_Neutrophil,MUI_Innsbruck.P12_tumor_Neutrophil,MUI_Innsbruck.P13_blood_Neutrophil,MUI_Innsbruck.P13_tumor_Neutrophil,MUI_Innsbruck.P14_blood_Neutrophil,MUI_Innsbruck.P14_tumor_Neutrophil,MUI_Innsbruck.P15_blood_Neutrophil,MUI_Innsbruck.P15_tumor_Neutrophil,MUI_Innsbruck.P16_blood_Neutrophil,MUI_Innsbruck.P16_tumor_Neutrophil,MUI_Innsbruck.P3_blood_Neutrophil,MUI_Innsbruck.P3_tumor_Neutrophil,MUI_Innsbruck.P4_blood_Neutrophil,MUI_Innsbruck.P4_tumor_Neutrophil,MUI_Innsbruck.P5_blood_Neutrophil,MUI_Innsbruck.P5_tumor_Neutrophil,MUI_Innsbruck.P7_blood_Neutrophil,MUI_Innsbruck.P7_tumor_Neutrophil,MUI_Innsbruck.P8_blood_Neutrophil,MUI_Innsbruck.P8_tumor_Neutrophil,MUI_Innsbruck.P9_blood_Neutrophil,MUI_Innsbruck.P9_tumor_Neutrophil
IL17RA,429.0,1890.0,99.0,2261.0,76.0,1620.0,111.0,1188.0,388.0,4336.0,196.0,1193.0,386.0,2980.0,72.0,2783.0,1048.0,1982.0,116.0,2317.0,35.0,1222.0,209.0
IL18RAP,203.0,226.0,74.0,107.0,30.0,278.0,36.0,628.0,252.0,387.0,68.0,313.0,280.0,1096.0,41.0,503.0,410.0,58.0,30.0,251.0,35.0,79.0,50.0
IL1A,0.0,9.0,78.0,3.0,22.0,10.0,734.0,18.0,393.0,1.0,388.0,18.0,419.0,8.0,108.0,172.0,1276.0,5.0,200.0,4.0,281.0,15.0,1100.0
IL1B,52.0,2166.0,2399.0,224.0,3325.0,227.0,13647.0,437.0,10526.0,323.0,15970.0,590.0,23961.0,197.0,1638.0,18380.0,81318.0,101.0,6260.0,309.0,8136.0,391.0,26938.0
IL1R1,146.0,426.0,505.0,284.0,163.0,311.0,496.0,563.0,955.0,835.0,542.0,460.0,1101.0,427.0,154.0,763.0,3775.0,211.0,341.0,284.0,157.0,283.0,1175.0
IL1R2,1227.0,4834.0,1499.0,1994.0,396.0,1764.0,576.0,3918.0,2475.0,4953.0,1627.0,1241.0,1664.0,4139.0,355.0,7238.0,6083.0,1303.0,596.0,1384.0,437.0,1369.0,1451.0
IL1RAP,176.0,676.0,354.0,818.0,189.0,998.0,509.0,1013.0,975.0,1960.0,944.0,1000.0,1946.0,813.0,155.0,1168.0,4275.0,578.0,339.0,984.0,269.0,653.0,1077.0
IL1RN,105.0,2801.0,635.0,709.0,1478.0,869.0,6734.0,896.0,4411.0,1063.0,5140.0,832.0,4512.0,1464.0,1045.0,9247.0,19471.0,586.0,1560.0,718.0,2522.0,325.0,6361.0
IL2RG,211.0,1339.0,177.0,1499.0,154.0,1114.0,534.0,1211.0,1609.0,2588.0,548.0,892.0,532.0,1900.0,259.0,1472.0,2532.0,832.0,239.0,1045.0,95.0,917.0,786.0
IL4R,102.0,874.0,70.0,294.0,51.0,496.0,172.0,552.0,456.0,1136.0,307.0,488.0,433.0,1351.0,106.0,1003.0,1357.0,297.0,99.0,368.0,44.0,171.0,304.0
IL6R,229.0,1055.0,184.0,2090.0,176.0,1063.0,825.0,1081.0,994.0,3254.0,516.0,1082.0,726.0,1435.0,152.0,1751.0,3234.0,1783.0,284.0,1738.0,169.0,928.0,1269.0
