"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scfd2",7.16770720582229e-41,1.16995405936384,0.063,0.013,2.46526121637052e-36
"Wrap73",7.416596747273e-41,0.734782274702748,0.056,0.014,2.55086428525708e-36
"Dnaaf5",7.85038643454904e-41,1.8788296477095,0.049,0.005,2.7000619102988e-36
"Aph1c",8.10036482123806e-41,-2.21299449671545,0.044,0.095,2.78603947661662e-36
"Decr1",8.6150555384471e-41,4.90243426920622,0.039,0,2.96306220189349e-36
"Rpl39-ps",8.6818699013531e-41,2.40011497355893,0.045,0.003,2.98604233387138e-36
"Psph",8.83807200291156e-41,1.2789845756937,0.049,0.007,3.0397664846814e-36
"Pnkd",9.07808642808429e-41,0.685241398844914,0.06,0.018,3.12231704607531e-36
"Cdkl4",9.61279653369015e-41,-0.112230158139731,0.055,0.024,3.30622523979739e-36
"Zfp60",1.10488014967892e-40,0.790748368216235,0.05,0.012,3.80012478680566e-36
"Nadsyn1",1.24514581449773e-40,0.910357465780682,0.053,0.011,4.28255451438351e-36
"Gm6204",1.25130798975738e-40,1.82106760789571,0.045,0.005,4.30374869997154e-36
"Mir142",1.27730717671685e-40,0.16996605437726,0.059,0.023,4.39317030359993e-36
"Gm20721",1.30230928343975e-40,1.50093412215533,0.048,0.007,4.47916254946267e-36
"Dhx32",1.45359462203498e-40,1.80196601630006,0.049,0.006,4.99949334302709e-36
"Gnb5",1.71534040513036e-40,-0.6173614599802,0.049,0.032,5.89974178940535e-36
"Zfp182",1.88915463426422e-40,-0.534196852059831,0.06,0.033,6.49755844908836e-36
"Kptn",1.90737450519297e-40,0.317579860538814,0.062,0.021,6.56022387316069e-36
"Klhl42",2.07021635306637e-40,0.750818753784465,0.067,0.019,7.12030212473646e-36
"Gm15246",2.09497792691652e-40,3.30953004115098,0.051,0.003,7.20546708183668e-36
"H4c14",2.1902687919452e-40,8.48494983500388,0.037,0,7.53321048301631e-36
"Arl16",2.30844419455683e-40,0.135826783663428,0.056,0.021,7.93966296275875e-36
"Lsamp",2.40965662722916e-40,0.336910312711241,0.046,0.014,8.28777300369197e-36
"Rfxank",2.4971892265501e-40,0.272868042647045,0.057,0.021,8.58883262579643e-36
"Gm4149",2.91575933329615e-40,1.34384051752457,0.046,0.007,1.00284626509388e-35
"Ccdc80",3.35802997532347e-40,-1.40811573899562,0.048,0.049,1.15496082971275e-35
"D030055H07Rik",3.41778193255077e-40,0.309317160324376,0.058,0.023,1.17551191788151e-35
"Dus3l",3.65656075288945e-40,1.60060541074026,0.061,0.011,1.2576375053488e-35
"Gbp2",3.86053846035921e-40,-5.48481494856889,0.002,0.094,1.32779359805595e-35
"2510002D24Rik",3.91867504499175e-40,0.602405262868616,0.055,0.016,1.34778909497446e-35
"H2ac12",4.53162454036336e-40,9.72061390118583,0.035,0,1.55860694441257e-35
"Sema4f",4.674803672978e-40,-1.99717734878583,0.034,0.056,1.60785197528405e-35
"Hspbp1",4.82511271460347e-40,7.21550371844947,0.038,0,1.65954926706072e-35
"Vsig10",4.93179358442228e-40,0.241816987264207,0.053,0.016,1.6962410854262e-35
"Hps4",5.26322721941037e-40,0.108252833657426,0.053,0.019,1.810234369844e-35
"C1galt1c1",6.25717304296131e-40,-1.05018741468132,0.049,0.042,2.15209209639611e-35
"Pced1a",7.37846260471504e-40,1.2962679380469,0.051,0.008,2.53774842826569e-35
"Rab11fip5",7.5267083862231e-40,-1.7573397404837,0.042,0.051,2.58873608235757e-35
"Nudt9",7.53400890801419e-40,2.11286086283851,0.046,0.004,2.5912470238224e-35
"Exoc6b",7.6266038804044e-40,-0.302565029809455,0.082,0.054,2.62309413862629e-35
"Gm26782",7.90772432175685e-40,1.52058067977397,0.05,0.007,2.71978270322505e-35
"Mfsd9",8.16091743966496e-40,-1.06307546813469,0.043,0.034,2.80686594419837e-35
"Grk5",8.3524613381827e-40,-2.49986565675978,0.035,0.077,2.87274555265456e-35
"Gm4953",8.64076972073189e-40,0.930673352295876,0.049,0.011,2.97190633774852e-35
"Cep97",8.65610941620868e-40,4.99348762407854,0.042,0.001,2.97718227261081e-35
"Inafm1",9.89876753121366e-40,-0.260840655560546,0.054,0.026,3.40458210468563e-35
"Atpsckmt",1.02700695454803e-39,1.74172856977823,0.049,0.006,3.53228771947249e-35
"Gm26982",1.06307858408851e-39,0.782488390113922,0.049,0.012,3.65635248211401e-35
"Nudt1",1.16255856376318e-39,1.93869921312269,0.048,0.005,3.99850392420706e-35
"Trmt5",1.16670755520707e-39,2.39891033188229,0.045,0.004,4.01277396537919e-35
"Rnft1",1.18596342084633e-39,0.831381593338018,0.053,0.012,4.07900258965888e-35
"Rbms2",1.2314749064958e-39,0.330714199726929,0.055,0.018,4.23553479340164e-35
"Dtx2",1.25363393360535e-39,-0.131336469931117,0.056,0.025,4.31174855124225e-35
"Gm3325",1.3107275013461e-39,4.26177201545011,0.043,0.001,4.50811616812978e-35
"Ticam2",1.36160986715498e-39,1.17786375371592,0.064,0.016,4.68312097709285e-35
"Aplf",1.40589370800228e-39,2.69717273605043,0.046,0.003,4.83543081930304e-35
"Zfp213",1.42156296402697e-39,1.557569060377,0.052,0.008,4.88932365847437e-35
"Dnaaf2",1.5870446513044e-39,5.4132958942463,0.038,0,5.45848137369636e-35
"Ints1",1.64094481844222e-39,0.772488694905875,0.05,0.013,5.64386560855016e-35
"Mocs3",1.77505667895139e-39,0.630677173129157,0.057,0.016,6.10512994158541e-35
"Abcf3",1.85881187217773e-39,-0.335918587376244,0.056,0.029,6.39319755316809e-35
"Gm36266",1.98411852482335e-39,-0.366823286693552,0.051,0.027,6.82417725427743e-35
"Fam114a1",2.00192397106589e-39,-2.65623532998729,0.035,0.079,6.88541730608403e-35
"Ppp1r14c",2.33704888360572e-39,0.112985142523547,0.051,0.02,8.0380459302735e-35
"Mrm2",2.40620766060423e-39,2.52426783774454,0.047,0.004,8.27591062788219e-35
"Wdr73",2.57665773711549e-39,0.57851235616562,0.056,0.016,8.86215662103501e-35
"Dpm1",2.70190601939525e-39,0.419493345206872,0.063,0.022,9.29293556310804e-35
"Efcab5",2.87641655758716e-39,0.362844110340824,0.054,0.018,9.89314710816527e-35
"Zdhhc12",2.89997558458948e-39,1.52164386820755,0.048,0.007,9.97417602563704e-35
"Wdr6",3.25828835481764e-39,6.92727554794002,0.037,0,1.12065569675598e-34
"Camk1",3.33299422329801e-39,-2.48222369367093,0.035,0.083,1.14635003316112e-34
"Mtg1",3.4180894300843e-39,5.025599429399,0.038,0,1.17561767858319e-34
"Arfgap3",3.80932894397759e-39,-0.208739904635431,0.052,0.025,1.31018059699165e-34
"Spred1",3.83392014841028e-39,0.807371792594036,0.057,0.015,1.31863849584423e-34
"Ppfibp1",3.96699008825994e-39,0.847664298705516,0.048,0.011,1.36440657095612e-34
"Nt5dc3",4.03154582247778e-39,0.382555386936837,0.052,0.018,1.38660987018301e-34
"Gm50432",4.18093714216042e-39,0.373099132381513,0.049,0.016,1.43799152067465e-34
