"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Stt3a",4.6294804781137e-70,1.03863465899742,0.458,0.12,1.59226351564242e-65
"Ctdsp2",4.97796975474799e-70,-0.990756950101149,0.447,0.42,1.71212291744802e-65
"B230303A05Rik",5.08516241153668e-70,-2.95423612946,0.164,0.493,1.74899075982393e-65
"Lnpep",5.307532082166e-70,-0.634304170897854,0.615,0.525,1.82547258434017e-65
"Strbp",6.10440470917675e-70,2.43255182913894,0.397,0.038,2.09954895567425e-65
"Pcsk7",6.69356673801681e-70,-0.172579018566734,0.523,0.299,2.3021853438735e-65
"Rbbp5",7.09667490948766e-70,1.18546671165954,0.466,0.114,2.44083036836918e-65
"Rpl38",7.26663504078807e-70,1.1832907022451,0.744,0.25,2.49928645592865e-65
"Ctdspl",7.52590489441096e-70,2.49957968695086,0.447,0.05,2.5884597293837e-65
"Rbm5",9.17797505945462e-70,-0.205801545673741,0.683,0.465,3.15667274194882e-65
"Btbd10",9.47521307836979e-70,0.19666587398141,0.595,0.293,3.2589047861745e-65
"1810058I24Rik",9.72658337182754e-70,-0.345180872924458,0.714,0.532,3.34536108490636e-65
"Fam217b",1.02067027789817e-69,-0.485426027415361,0.477,0.327,3.51049335380298e-65
"Vezf1",1.1506426421461e-69,0.224422332340196,0.557,0.269,3.9575203033973e-65
"Srek1",1.17470752250953e-69,2.12979936735949,0.405,0.047,4.04028905291929e-65
"Gm28437",1.20805901200467e-69,1.32465717725196,0.874,0.323,4.15499816588885e-65
"Zfp131",1.30598085522e-69,0.289468434563072,0.508,0.215,4.49179055344368e-65
"Nr1h2",1.3811800725046e-69,-0.351410655244754,0.462,0.29,4.75043074137232e-65
"Acap1",1.42965379513965e-69,-0.343950909188101,0.576,0.414,4.91715126300331e-65
"Rab44",1.48425091452708e-69,0.142627292736689,0.798,0.476,5.10493259542443e-65
"Nup133",1.62971611615552e-69,10.2019642631394,0.279,0,5.60524560990528e-65
"Nek2",1.62971611615556e-69,10.3237888558949,0.279,0,5.60524560990545e-65
"Parpbp",1.62971611615612e-69,10.3704255631573,0.279,0,5.60524560990736e-65
"Plekho2",1.65856428220187e-69,-0.207519599585766,0.469,0.276,5.70446599220513e-65
"Cdk19",1.69515549396079e-69,0.526006262005854,0.618,0.261,5.83031780592874e-65
"Zwilch",1.79025723268956e-69,4.66514299075857,0.317,0.006,6.15741072611247e-65
"Syne1",1.87000419469454e-69,-0.301456892730581,0.989,0.875,6.43169242723241e-65
"Pstpip2",2.02612245688252e-69,-0.293167010086727,0.508,0.33,6.96864557820175e-65
"Acer3",2.07226545842593e-69,1.89204047195722,0.477,0.077,7.12734981771014e-65
"Kmt2c",2.12357311079526e-69,-0.193928250771803,0.622,0.401,7.30381735726921e-65
"Ncam1",2.17058263033917e-69,1.08327302971851,0.924,0.388,7.46550189878855e-65
"Zdhhc18",2.21299256390834e-69,-0.485169601644138,0.485,0.34,7.61136662430635e-65
"Mta1",2.26112913508002e-69,5.41739138998319,0.313,0.004,7.77692754719424e-65
"Xpc",2.26854357961075e-69,0.237016607064253,0.664,0.343,7.80242878771323e-65
"Akirin2",2.29231487155182e-69,1.09163150683878,0.496,0.13,7.88418776921534e-65
"Dcp2",2.34897007298874e-69,0.925542918070184,0.481,0.138,8.07904766903748e-65
"Ramac",2.4227069476732e-69,-0.940748026793046,0.389,0.325,8.33265827582721e-65
"Ranbp9",2.46130484898313e-69,-0.141136396737353,0.695,0.459,8.46541189759258e-65
"Lrrfip2",2.83448193334956e-69,0.105424657354723,0.649,0.36,9.74891716156246e-65
"Ctnnb1",2.83765031996643e-69,0.269986438766176,0.752,0.407,9.75981451049252e-65
"Tshz1",2.99695647716527e-69,4.7515673170984,0.313,0.006,1.03077321075622e-64
"Osbpl2",3.11710465018379e-69,-0.599258861038365,0.412,0.289,1.07209697338421e-64
"Rapgef6",3.18873076092781e-69,-0.23015821031405,0.721,0.517,1.09673205791351e-64
"Mrpl57",3.30285142656684e-69,1.68036375268582,0.466,0.085,1.1359827196534e-64
"Sdha",3.32171590879526e-69,0.829712794923194,0.511,0.166,1.14247096967104e-64
"B230219D22Rik",3.61492155796161e-69,0.449513507892861,0.649,0.298,1.24331612064532e-64
